,Year,Location,Area,Rainfall,Temperature,Soil type,Irrigation,yeilds,Humidity,Crops,price,valcrop
0,2004,Mangalore,1279,2903.1,27.0,Alluvial,Drip,2570.0,57.0,Coconut,200000,5
1,2004,Mangalore,13283,2903.1,27.0,Alluvial,Drip,27170.0,57.5,Coconut,4847,5
2,2004,Mangalore,52119,2903.1,27.0,Alluvial,Drip,114744.0,57.0,Coconut,51239,5
3,2004,Mangalore,725,2996.6,27.0,Alluvial,Drip,1402.0,55.0,Coconut,216396,5
4,2004,Mangalore,12885,2996.6,27.0,Alluvial,Drip,23456.0,56.0,Coconut,2644,5
5,2004,Mangalore,51179,2996.6,27.0,Alluvial,Drip,107809.0,54.0,Coconut,44235,5
6,2004,Mangalore,468,3522.8,27.2,Alluvial,Drip,1132.0,58.0,Coconut,203317,5
7,2004,Mangalore,11841,3522.8,27.2,Alluvial,Drip,23960.0,58.0,Coconut,2134,5
8,2004,Mangalore,50975,3522.8,27.2,Alluvial,Drip,126487.0,59.0,Coconut,45186,5
9,2004,Mangalore,206,3729.8,27.0,Alluvial,Drip,804.0,50.0,Coconut,238542,5
10,2004,Mangalore,10922,3729.8,27.0,Alluvial,Drip,30362.0,54.0,Coconut,1516,5
11,2004,Mangalore,51390,3729.8,27.0,Alluvial,Drip,124492.0,53.0,Coconut,57259,5
12,2004,Mangalore,177,2746.2,27.0,Alluvial,Drip,792.0,52.0,Coconut,234779,5
13,2004,Mangalore,10723,2746.2,27.0,Alluvial,Drip,34153.0,51.0,Coconut,1493,5
14,2004,Kodagu,51709,2746.2,27.0,Alluvial,Drip,132551.0,57.0,Coconut,64409,5
15,2004,Kodagu,146,3360.0,27.2,Alluvial,Drip,338.0,57.0,Coconut,249978,5
16,2004,Kodagu,10910,3360.0,27.2,Alluvial,Drip,22966.0,60.0,Coconut,637,5
17,2004,Kodagu,51355,3360.0,27.2,Alluvial,Drip,131763.0,57.0,Coconut,43311,5
18,2004,Kodagu,160,3605.4,27.1,Alluvial,Drip,404.0,57.0,Coconut,24848,5
19,2004,Kodagu,10912,3605.4,27.1,Alluvial,Drip,24184.0,54.0,Coconut,761,5
20,2004,Kodagu,51353,3605.4,27.1,Alluvial,Drip,124387.0,54.5,Coconut,45608,5
21,2004,Kodagu,142,3512.4,26.8,Alluvial,Drip,343.0,56.6,Coconut,234581,5
22,2004,Kodagu,10505,3512.4,26.8,Alluvial,Drip,23099.0,55.5,Coconut,646,5
23,2004,Kodagu,51040,3512.4,26.8,Alluvial,Drip,117825.84,58.5,Coconut,43562,5
24,2004,Kodagu,154,3296.0,37.0,Alluvial,Drip,336.0,59.5,Coconut,200000,5
25,2004,Kodagu,10318,3296.0,37.0,Alluvial,Drip,22594.0,55.0,Coconut,4847,5
26,2004,Kodagu,48083,3296.0,37.0,Alluvial,Drip,116481.07,53.0,Coconut,51239,5
27,2004,Kasaragodu,143,3550.0,38.0,Alluvial,Drip,316.0,53.5,Coconut,216396,5
28,2004,Kasaragodu,9283,3550.0,38.0,Alluvial,Drip,21400.0,52.5,Coconut,2644,5
29,2004,Kasaragodu,47200,3550.0,38.0,Alluvial,Drip,122102.0,56.0,Coconut,44235,5
30,2004,Kasaragodu,158,3654.0,39.0,Alluvial,Drip,382.0,57.0,Coconut,203317,5
31,2004,Kasaragodu,8982,3654.0,39.0,Alluvial,Drip,19578.0,57.5,Coconut,2134,5
32,2004,Kasaragodu,46990,3654.0,39.0,Alluvial,Drip,121037.0,57.0,Coconut,45186,5
33,2004,Kasaragodu,103,233.0,40.0,Alluvial,Drip,231.0,55.0,Coconut,238542,5
34,2004,Kasaragodu,8239,233.0,40.0,Alluvial,Drip,18951.0,56.0,Coconut,1516,5
35,2004,Kasaragodu,44563,233.0,40.0,Alluvial,Drip,110579.0,54.0,Coconut,57259,5
36,2004,Kasaragodu,96,234.0,41.0,Alluvial,Drip,221.0,58.0,Coconut,234779,5
37,2004,Kasaragodu,6949,234.0,41.0,Alluvial,Drip,15362.0,58.0,Coconut,1493,5
38,2004,Kasaragodu,44663,234.0,41.0,Alluvial,Drip,120373.0,59.0,Coconut,64409,5
39,2004,Kasaragodu,110,3105.0,42.0,Red,Drip,291.0,50.0,Coconut,249978,5
40,2004,Kasaragodu,6824,3105.0,42.0,Red,Drip,17231.0,54.0,Coconut,637,5
41,2004,Kasaragodu,43013,3105.0,42.0,Red,Drip,119359.0,53.0,Coconut,43311,5
42,2004,Raichur,95,236.0,43.0,Red,Drip,283.0,52.0,Coconut,24848,5
43,2004,Raichur,6441,236.0,43.0,Red,Drip,17690.0,51.0,Coconut,761,5
44,2004,Raichur,4012,2903.1,27.0,Red,Basin,7157.0,57.0,Coconut,45608,5
45,2004,Raichur,4877,2903.1,27.0,Red,Basin,8700.0,57.0,Coconut,234581,5
46,2004,Raichur,4930,2903.1,27.0,Red,Basin,41266.0,60.0,Coconut,646,5
47,2004,Raichur,4954,2996.6,27.0,Red,Basin,8838.0,57.0,Coconut,43562,5
48,2004,Raichur,5019,2996.6,27.0,Red,Basin,8954.0,57.0,Coconut,200000,5
49,2004,Raichur,5127,2996.6,27.0,Red,Basin,42915.0,54.0,Coconut,4847,5
50,2004,Raichur,5174,3522.8,27.2,Red,Basin,9230.0,54.5,Coconut,51239,5
51,2004,Raichur,5294,3522.8,27.2,Red,Basin,44313.0,56.6,Coconut,216396,5
52,2004,Raichur,5474,3522.8,27.2,Red,Basin,45820.0,55.5,Coconut,2644,5
53,2004,Raichur,5864,3729.8,27.0,Red,Basin,49084.0,58.5,Coconut,44235,5
54,2004,Raichur,7028,3729.8,27.0,Red,Basin,86311.0,59.5,Coconut,203317,5
55,2004,Raichur,7403,3729.8,27.0,Red,Basin,57642.0,55.0,Coconut,2134,5
56,2004,Raichur,7501,2746.2,27.0,Red,Basin,58405.0,53.0,Coconut,45186,5
57,2004,Raichur,7714,2746.2,27.0,Red,Basin,60751.0,53.5,Coconut,238542,5
58,2004,Raichur,7856,2746.2,27.0,Red,Basin,109506.0,52.5,Coconut,1516,5
59,2004,Raichur,32,3360.0,27.2,Red,Basin,114.0,56.0,Coconut,57259,5
60,2004,Raichur,1,3360.0,27.2,Red,Basin,3.0,57.0,Coconut,234779,5
61,2004,Raichur,30,3360.0,27.2,Red,Basin,95.0,57.5,Coconut,1493,5
62,2004,Gulbarga,6,3605.4,27.1,Red,Basin,19.0,57.0,Coconut,64409,5
63,2004,Gulbarga,15,3605.4,27.1,Red,Basin,54.0,55.0,Coconut,249978,5
64,2004,Gulbarga,4,3605.4,27.1,Red,Basin,13.0,56.0,Coconut,200000,5
65,2004,Gulbarga,39,3512.4,26.8,Red,Basin,123.0,54.0,Coconut,4847,5
66,2004,Gulbarga,6,3512.4,26.8,Red,Basin,19.0,58.0,Coconut,51239,5
67,2004,Gulbarga,12,3512.4,26.8,Red,Basin,32.0,58.0,Coconut,216396,5
68,2004,Gulbarga,3,3296.0,37.0,Red,Basin,8.0,59.0,Coconut,2644,5
69,2004,Gulbarga,17,3296.0,37.0,Black,Basin,50.0,50.0,Coconut,44235,5
70,2004,Gulbarga,3,3296.0,37.0,Black,Basin,10.0,54.0,Coconut,203317,5
71,2004,Gulbarga,9,3550.0,38.0,Black,Basin,29.0,53.0,Coconut,2134,5
72,2004,Gulbarga,21,3550.0,38.0,Black,Basin,44.0,52.0,Coconut,45186,5
73,2004,Gulbarga,11,3550.0,38.0,Black,Basin,33.0,51.0,Coconut,238542,5
74,2004,Gulbarga,4,3654.0,39.0,Black,Basin,14.0,57.0,Coconut,1516,5
75,2004,Gulbarga,15,3654.0,39.0,Black,Basin,56.0,57.0,Coconut,57259,5
76,2004,Gulbarga,8,3654.0,39.0,Black,Basin,26.0,60.0,Coconut,234779,5
77,2004,Gulbarga,29,233.0,40.0,Black,Basin,98.0,57.0,Coconut,1493,5
78,2004,Gulbarga,1,233.0,40.0,Black,Basin,3.0,57.0,Coconut,64409,5
79,2004,Gulbarga,13736,233.0,40.0,Black,Basin,58637.0,54.0,Coconut,249978,5
80,2004,Gulbarga,14003,234.0,41.0,Black,Basin,59777.0,54.5,Coconut,637,5
81,2004,Gulbarga,14179,234.0,41.0,Black,Basin,60528.0,56.6,Coconut,43311,5
82,2004,Gulbarga,14319,234.0,41.0,Black,Basin,61126.0,55.5,Coconut,24848,5
83,2004,Gulbarga,14464,3105.0,42.0,Black,Basin,623687.0,58.5,Coconut,761,5
84,2004,Gulbarga,14876,3105.0,42.0,Black,Basin,63504.0,59.5,Coconut,45608,5
85,2004,Gulbarga,14976,3105.0,42.0,Black,Basin,63931.0,55.0,Coconut,234581,5
86,2004,Gulbarga,15009,236.0,43.0,Black,Basin,73730.0,53.0,Coconut,646,5
87,2004,Gulbarga,15114,2903.1,27.0,Black,Spray,118416.0,53.5,Coconut,43562,5
88,2004,Gulbarga,16224,2903.1,27.0,Black,Spray,130132.0,52.5,Coconut,200000,5
89,2004,Gulbarga,17095,2903.1,27.0,Black,Spray,154889.0,56.0,Coconut,4847,5
90,2004,Gulbarga,17512,2996.6,27.0,Black,Spray,171739.0,57.0,Coconut,51239,5
91,2004,Gulbarga,17587,2996.6,27.0,Black,Spray,172475.0,57.5,Coconut,216396,5
92,2004,Gulbarga,17771,2996.6,27.0,Black,Spray,177939.0,57.0,Coconut,2644,5
93,2004,Gulbarga,17825,3522.8,27.2,Black,Spray,313547.0,55.0,Coconut,44235,5
94,2004,Gulbarga,3147,3522.8,27.2,Black,Spray,2783.0,56.0,Coconut,203317,5
95,2004,Gulbarga,2578,3522.8,27.2,Black,Spray,1533.0,54.0,Coconut,2134,5
96,2004,Gulbarga,1591,3729.8,27.0,Black,Spray,1647.0,58.0,Coconut,45186,5
97,2004,Gulbarga,1298,3729.8,27.0,Black,Spray,975.0,58.0,Coconut,238542,5
98,2004,Gulbarga,4,3729.8,27.0,Black,Spray,2.0,59.0,Coconut,1516,5
99,2004,Gulbarga,1122,2746.2,27.0,Black,Spray,836.0,50.0,Coconut,57259,5
100,2004,Gulbarga,917,2746.2,27.0,Loam,Spray,806.0,54.0,Coconut,234779,5
101,2004,Gulbarga,819,2746.2,27.0,Loam,Spray,880.0,53.0,Coconut,1493,5
102,2004,Gulbarga,619,3360.0,27.2,Loam,Spray,770.0,52.0,Coconut,64409,5
103,2004,Gulbarga,391,3360.0,27.2,Loam,Spray,395.0,51.0,Coconut,249978,5
104,2004,Gulbarga,211,3360.0,27.2,Loam,Spray,187.0,57.0,Coconut,637,5
105,2004,Gulbarga,153,3605.4,27.1,Loam,Spray,187.0,57.0,Coconut,43311,5
106,2004,Gulbarga,111,3605.4,27.1,Loam,Spray,121.0,60.0,Coconut,24848,5
107,2004,Gulbarga,76,3605.4,27.1,Loam,Spray,103.0,57.0,Coconut,761,5
108,2004,Gulbarga,53,3512.4,26.8,Loam,Spray,71.0,57.0,Coconut,45608,5
109,2004,Gulbarga,2688,3512.4,26.8,Loam,Spray,3961.0,54.0,Coconut,234581,5
110,2004,Gulbarga,2311,3512.4,26.8,Loam,Spray,4247.0,54.5,Coconut,646,5
111,2004,Gulbarga,2188,3296.0,37.0,Loam,Spray,3290.0,56.6,Coconut,43562,5
112,2004,Gulbarga,1998,3296.0,37.0,Loam,Spray,3138.0,55.5,Coconut,200000,5
113,2004,Gulbarga,2006,3296.0,37.0,Loam,Spray,3423.0,58.5,Coconut,4847,5
114,2004,Gulbarga,2034,3550.0,38.0,Loam,Spray,3899.0,59.5,Coconut,51239,5
115,2004,Gulbarga,2035,3550.0,38.0,Loam,Spray,4015.0,55.0,Coconut,216396,5
116,2004,Gulbarga,2074,3550.0,38.0,Loam,Spray,4279.0,53.0,Coconut,2644,5
117,2004,Gulbarga,2127,3654.0,39.0,Loam,Spray,4167.0,53.5,Coconut,44235,5
118,2004,Gulbarga,2090,3654.0,39.0,Loam,Spray,4479.0,52.5,Coconut,203317,5
119,2004,Gulbarga,2059,3654.0,39.0,Loam,Spray,3699.0,56.0,Coconut,2134,5
120,2004,Gulbarga,2050,233.0,40.0,Loam,Spray,4904.0,57.0,Coconut,45186,5
121,2004,Gulbarga,1865,233.0,40.0,Loam,Spray,2821.0,57.5,Coconut,238542,5
122,2004,Gulbarga,1841,233.0,40.0,Loam,Spray,3472.0,57.0,Coconut,1516,5
123,2004,Gulbarga,1799,234.0,41.0,Loam,Spray,3647.0,55.0,Coconut,200000,5
124,2004,Gulbarga,1468,234.0,41.0,Loam,Spray,393.0,56.0,Coconut,4847,5
125,2004,Gulbarga,568,234.0,41.0,Red,Spray,167.0,54.0,Coconut,51239,5
126,2004,Gulbarga,407,3105.0,42.0,Red,Spray,71.0,58.0,Coconut,216396,5
127,2004,Gulbarga,177,3105.0,42.0,Red,Spray,52.0,58.0,Coconut,2644,5
128,2004,Gulbarga,51,3105.0,42.0,Red,Spray,12.0,59.0,Coconut,44235,5
129,2004,Gulbarga,173,236.0,43.0,Red,Spray,51.0,50.0,Coconut,203317,5
130,2004,Gulbarga,201,236.0,43.0,Red,Spray,61.0,54.0,Coconut,2134,5
131,2013,Gulbarga,206,321.0,128.0,Red,Drip,67.0,53.0,Cocoa,45186,4
132,2014,Gulbarga,243,3654.0,129.0,Red,Drip,62.0,52.0,Cocoa,238542,4
133,2015,Gulbarga,123,323.0,130.0,Red,Drip,32.0,51.0,Cocoa,1516,4
134,2016,Gulbarga,82,324.0,131.0,Red,Drip,22.0,57.0,Cocoa,57259,4
135,2017,Gulbarga,74,3105.0,132.0,Red,Drip,25.0,57.0,Cocoa,234779,4
136,2018,Gulbarga,18,326.0,133.0,Red,Drip,4.0,60.0,Cocoa,1493,4
137,2004,Gulbarga,37,327.0,134.0,Red,Drip,9.0,57.0,Coffee,64409,6
138,2005,Gulbarga,35,328.0,135.0,Red,Drip,12.0,57.0,Coffee,249978,6
139,2006,Gulbarga,5974,2903.1,136.0,Red,Drip,2089.0,54.0,Coffee,637,6
140,2007,Gulbarga,6631,2903.1,137.0,Red,Drip,2810.0,54.5,Coffee,43311,6
141,2008,Gulbarga,6705,2903.1,138.0,Red,Drip,841.0,56.6,Coffee,24848,6
142,2009,Gulbarga,5876,2996.6,139.0,Red,Drip,3550.0,55.5,Coffee,761,6
143,2010,Gulbarga,326,2996.6,140.0,Red,Drip,109.0,58.5,Coffee,45608,6
144,2011,Gulbarga,6470,2996.6,141.0,Red,Drip,3368.0,59.5,Coffee,234581,6
145,2012,Gulbarga,6709,3522.8,142.0,Red,Drip,3671.0,55.0,Coffee,646,6
146,2013,Gulbarga,6186,3522.8,143.0,Red,Drip,2404.0,53.0,Coffee,43562,6
147,2014,Gulbarga,6503,3522.8,144.0,Red,Drip,2805.0,53.5,Coffee,200000,6
148,2015,Gulbarga,5220,3729.8,145.0,Red,Drip,2331.0,52.5,Coffee,4847,6
149,2016,Gulbarga,4677,3729.8,146.0,Red,Drip,2088.0,56.0,Coffee,51239,6
150,2017,Gulbarga,4803,3729.8,147.0,Black,Drip,2628.0,57.0,Coffee,216396,6
151,2018,Gulbarga,3739,2746.2,148.0,Black,Drip,1939.0,57.5,Coffee,2644,6
152,2004,Gulbarga,3529,2746.2,149.0,Black,Drip,1871.0,57.0,Cardamum,44235,2
153,2005,Gulbarga,3649,2746.2,150.0,Black,Drip,1868.0,55.0,Cardamum,203317,2
154,2006,Gulbarga,1374,3360.0,151.0,Black,Drip,127919.0,56.0,Cardamum,2134,2
155,2007,Gulbarga,933,3360.0,152.0,Black,Drip,75340.0,54.0,Cardamum,45186,2
156,2008,Gulbarga,345,3360.0,153.0,Black,Drip,29170.0,58.0,Cardamum,238542,2
157,2009,Gulbarga,29,3605.4,154.0,Black,Drip,1901.0,58.0,Cardamum,1516,2
158,2010,Gulbarga,11,3605.4,155.0,Black,Drip,972.0,59.0,Cardamum,57259,2
159,2011,Gulbarga,10,3605.4,156.0,Black,Drip,874.0,50.0,Cardamum,234779,2
160,2012,Gulbarga,7,3512.4,157.0,Black,Drip,592.0,54.0,Cardamum,1493,2
161,2013,Gulbarga,10,3512.4,158.0,Black,Drip,864.0,53.0,Cardamum,64409,2
162,2014,Gulbarga,56,3512.4,159.0,Black,Drip,5373.0,52.0,Cardamum,249978,2
163,2015,Gulbarga,68,3296.0,160.0,Black,Drip,6589.0,51.0,Cardamum,637,2
164,2016,Gulbarga,56,3296.0,161.0,Black,Drip,5107.0,57.0,Cardamum,43311,2
165,2017,Gulbarga,66,3296.0,162.0,Black,Drip,5518.0,57.0,Cardamum,24848,2
166,2018,Gulbarga,55,3550.0,163.0,Black,Drip,4912.0,60.0,Cardamum,761,2
167,2004,Madikeri,42,3550.0,164.0,Black,Drip,3830.0,57.0,Pepper,45608,10
168,2005,Madikeri,51179,3550.0,165.0,Black,Drip,4.0,57.0,Pepper,234581,10
169,2006,Madikeri,468,3654.0,166.0,Black,Drip,9.0,54.0,Pepper,646,10
170,2007,Madikeri,11841,3654.0,167.0,Black,Drip,12.0,54.5,Pepper,43562,10
