Year,Location,Area,Rainfall,Temperature,Soil type,Irrigation,yeilds,Humidity,Crops,price,calculation,res4
2004,Mangalore,1279,2903.1,27.0,Alluvial,Drip,2570.0,57.0,Coconut,200000,2645.9143968871595,68.31899921813917
2004,Mangalore,13283,2903.1,27.0,Alluvial,Drip,27170.0,57.5,Coconut,4847,6.065439823334561,69.54603628698337
2004,Mangalore,52119,2903.1,27.0,Alluvial,Drip,114744.0,57.0,Coconut,51239,15.182719793627554,74.85362343866919
2004,Mangalore,725,2996.6,27.0,Alluvial,Drip,1402.0,55.0,Coconut,216396,5247.83452211127,65.74896551724137
2004,Mangalore,12885,2996.6,27.0,Alluvial,Drip,23456.0,56.0,Coconut,2644,3.832537517053206,61.89398525417152
2004,Mangalore,51179,2996.6,27.0,Alluvial,Drip,107809.0,54.0,Coconut,44235,13.950505059874407,71.62128998221927
2004,Mangalore,468,3522.8,27.2,Alluvial,Drip,1132.0,58.0,Coconut,203317,6106.6943462897525,82.23931623931624
2004,Mangalore,11841,3522.8,27.2,Alluvial,Drip,23960.0,58.0,Coconut,2134,3.0282136894824707,68.79824339160544
2004,Mangalore,50975,3522.8,27.2,Alluvial,Drip,126487.0,59.0,Coconut,45186,12.146101970953538,84.36602256007846
2004,Mangalore,206,3729.8,27.0,Alluvial,Drip,804.0,50.0,Coconut,238542,10087.597014925374,132.6990291262136
2004,Mangalore,10922,3729.8,27.0,Alluvial,Drip,30362.0,54.0,Coconut,1516,1.6976483762597985,94.51638893975462
2004,Mangalore,51390,3729.8,27.0,Alluvial,Drip,124492.0,53.0,Coconut,57259,15.638000835395045,82.36481805798793
2004,Mangalore,177,2746.2,27.0,Alluvial,Drip,792.0,52.0,Coconut,234779,10078.896464646465,152.13559322033896
2004,Mangalore,10723,2746.2,27.0,Alluvial,Drip,34153.0,51.0,Coconut,1493,1.4863115978098558,108.29077683484098
2016,Mangalore,146,2903.1,39.0,Alluvial,Spray,880.0,50.0,Coconut,57259,2212.2795454545453,204.93150684931507
2017,Mangalore,10910,2996.6,39.0,Alluvial,Spray,770.0,54.0,Coconut,234779,10366.864935064936,2.399633363886343
2018,Mangalore,51355,2996.6,40.0,Alluvial,Spray,395.0,53.0,Coconut,1493,128.5113924050633,0.26151299776068543
2004,Mangalore,160,2996.6,40.0,Alluvial,Spray,187.0,52.0,Coconut,64409,11710.727272727272,39.7375
2005,Mangalore,10912,3522.8,40.0,Alluvial,Spray,187.0,51.0,Coconut,249978,45450.545454545456,0.5826612903225806
2006,Mangalore,51353,3522.8,41.0,Alluvial,Spray,121.0,57.0,Coconut,637,178.9917355371901,0.08011216481997156
2007,Mangalore,142,3522.8,41.0,Alluvial,Spray,103.0,57.0,Coconut,43311,14296.83495145631,24.661971830985916
2008,Mangalore,10505,2903.1,41.0,Alluvial,Spray,71.0,60.0,Coconut,24848,11899.042253521127,0.22979533555449785
2009,Mangalore,51040,2903.1,42.0,Alluvial,Spray,3961.0,57.0,Coconut,761,6.532188841201717,2.6385971786833857
2010,Mangalore,154,2903.1,42.0,Alluvial,Spray,4247.0,57.0,Coconut,45608,365.12173298799155,937.6493506493507
2011,Mangalore,10318,2996.6,42.0,Alluvial,Spray,3290.0,54.0,Coconut,234581,2424.2413373860186,10.84124830393487
2012,Mangalore,48083,2996.6,43.0,Alluvial,Spray,3138.0,54.5,Coconut,646,6.9993626513703,2.218913129380446
2013,Mangalore,143,2996.6,43.0,Alluvial,Spray,3423.0,56.6,Coconut,43562,432.69295939234587,813.8601398601398
2014,Mangalore,9283,3522.8,128.0,Alluvial,Spray,3899.0,55.5,Coconut,200000,1744.0369325468068,14.28051276526985
2015,Mangalore,47200,3522.8,129.0,Alluvial,Spray,4015.0,58.5,Coconut,4847,41.04557907845579,2.8921610169491525
2016,Mangalore,158,3522.8,130.0,Alluvial,Spray,4279.0,59.5,Coconut,51239,407.1339097920075,920.7974683544304
2017,Mangalore,8982,3729.8,131.0,Alluvial,Spray,4167.0,55.0,Coconut,216396,1765.6501079913608,15.773547094188377
2018,Mangalore,46990,3729.8,132.0,Alluvial,Spray,4479.0,53.0,Coconut,2644,20.070551462379996,3.2408171951479035
2004,Mangalore,103,3729.8,133.0,Alluvial,Spray,3699.0,53.5,Coconut,44235,406.5936739659367,1221.0291262135922
2005,Mangalore,8239,2746.2,134.0,Alluvial,Spray,4904.0,52.5,Coconut,203317,1409.6203099510603,20.237407452360724
2006,Mangalore,44563,2746.2,135.0,Alluvial,Spray,2821.0,56.0,Coconut,2134,25.719957461892946,2.152323676592689
2007,Mangalore,96,2746.2,136.0,Alluvial,Spray,3472.0,57.0,Coconut,45186,442.4896313364055,1229.6666666666665
2008,Mangalore,6949,3360.0,137.0,Alluvial,Spray,3647.0,57.5,Coconut,238542,2223.8629010145323,17.84400633184631
2009,Mangalore,44663,3360.0,138.0,Alluvial,Spray,393.0,57.0,Coconut,1516,131.1552162849873,0.2991738127756756
2010,Mangalore,110,3360.0,139.0,Alluvial,Spray,167.0,55.0,Coconut,200000,40718.5628742515,51.61818181818182
2017,Mangalore,142,3360.0,40.0,Alluvial,Drip,2331.0,55.5,Coffee,761,11.0999570999571,558.1267605633803
2018,Mangalore,10505,3360.0,41.0,Alluvial,Drip,2088.0,58.5,Coffee,45608,742.6590038314175,6.757924797715373
2004,Mangalore,51040,3605.4,41.0,Alluvial,Drip,2628.0,59.5,Coffee,234581,3034.91400304414,1.7506269592476489
2005,Mangalore,154,3605.4,41.0,Alluvial,Drip,1939.0,55.0,Coffee,646,11.327488396080454,428.0909090909091
2012,Mangalore,10318,3605.4,42.0,Alluvial,Drip,1871.0,53.0,Coffee,43562,791.6130411544628,6.165342120566001
2013,Mangalore,48083,3512.4,42.0,Alluvial,Drip,1868.0,53.5,Coffee,200000,3640.2569593147755,1.320882640434249
2014,Mangalore,143,3512.4,27.0,Alluvial,Drip,127919.0,52.5,Coffee,4847,1.2882996271077791,30414.30769230769
2015,Mangalore,9283,3512.4,27.0,Alluvial,Drip,75340.0,56.0,Coffee,51239,23.12352004247412,275.94096735968975
2016,Mangalore,47200,3296.0,27.0,Alluvial,Drip,29170.0,57.0,Coffee,216396,252.22708261912925,21.01228813559322
2017,Mangalore,158,3296.0,27.0,Alluvial,Drip,1901.0,57.5,Coffee,2644,47.28879537085744,409.0759493670886
2018,Mangalore,8982,3296.0,27.0,Alluvial,Drip,972.0,57.0,Cardamum,44235,1547.3148148148148,3.6793587174348694
2004,Mangalore,46990,3550.0,27.0,Alluvial,Drip,874.0,55.0,Cardamum,203317,7909.3569794050345,0.6323898701851457
2005,Mangalore,103,3550.0,27.2,Alluvial,Drip,592.0,56.0,Cardamum,2134,122.5608108108108,195.41747572815535
2006,Mangalore,8239,3550.0,27.2,Alluvial,Drip,864.0,54.0,Cardamum,45186,1778.1527777777778,3.5654812477242386
2007,Mangalore,44563,3654.0,27.2,Alluvial,Drip,5373.0,58.0,Cardamum,238542,1509.4785036292574,4.099409824293697
